Node 1	Node 2	Weight
iron	aluminum	14
iron	strontium	7
iron	selenium	2
iron	phosphorus	8
iron	p,p'-ddd	3
iron	endrin	3
iron	p,p'-ddt	3
iron	manganese	45
iron	heptachlor	3
iron	nickel	8
iron	antimony	7
iron	heptachlor epoxide	3
iron	lindane	3
iron	toxaphene	3
iron	pcbs	3
iron	aldrin	3
iron	barium	1
phosphorus	aluminum	7
phosphorus	strontium	4
phosphorus	selenium	1
phosphorus	chlorothalonil	1
phosphorus	manganese	34
phosphorus	nickel	4
phosphorus	antimony	4
phosphorus	lindane	1
phosphorus	aldicarb	1
chlorothalonil	lindane	1
chlorothalonil	aldicarb	1
p,p'-ddd	lindane	6
p,p'-ddd	endrin	6
p,p'-ddd	toxaphene	6
p,p'-ddd	heptachlor epoxide	6
p,p'-ddd	aldrin	6
p,p'-ddd	heptachlor	6
p,p'-ddd	p,p'-ddt	6
p,p'-ddd	pcbs	6
p,p'-ddd	nickel	3
endrin	lindane	6
endrin	toxaphene	6
endrin	heptachlor epoxide	6
endrin	aldrin	6
endrin	heptachlor	6
endrin	p,p'-ddt	6
endrin	pcbs	6
endrin	nickel	3
p,p'-ddt	lindane	6
p,p'-ddt	toxaphene	6
p,p'-ddt	aldrin	6
p,p'-ddt	heptachlor	6
p,p'-ddt	heptachlor epoxide	6
p,p'-ddt	pcbs	7
p,p'-ddt	nickel	3
alpha-hch	aldicarb	1
manganese	aluminum	21
manganese	strontium	14
manganese	selenium	2
manganese	nickel	14
manganese	antimony	11
manganese	barium	2
heptachlor	lindane	6
heptachlor	toxaphene	6
heptachlor	aldrin	6
heptachlor	heptachlor epoxide	6
heptachlor	pcbs	6
heptachlor	nickel	3
nickel	strontium	1
nickel	heptachlor epoxide	3
nickel	lindane	3
nickel	toxaphene	3
nickel	pcbs	3
nickel	aldrin	3
heptachlor epoxide	lindane	6
heptachlor epoxide	toxaphene	6
heptachlor epoxide	aldrin	6
heptachlor epoxide	pcbs	6
lindane	toxaphene	6
lindane	pcbs	6
lindane	aldrin	6
lindane	aldicarb	1
toxaphene	aldrin	6
toxaphene	pcbs	6
pcbs	aldrin	6
aluminum	antimony	8
aluminum	strontium	6
aluminum	selenium	1
antimony	selenium	1
strontium	barium	1
